City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,Airai,-8.9266,125.4092,61.21,91,73,0.87,TL,2021-03-22 17:34:49
179,Mount Isa,-20.7333,139.5,80.6,69,90,9.22,AU,2021-03-22 17:34:50
180,Changde,29.0464,111.6783,52.14,60,84,3.15,CN,2021-03-22 17:34:50
181,Jaisalmer,26.9147,70.9181,78.24,35,61,15.68,IN,2021-03-22 17:34:51
182,Ancud,-41.8697,-73.8203,64.4,55,20,4.61,CL,2021-03-22 17:34:51
183,Cimarron Hills,38.8586,-104.6989,35.6,75,90,11.5,US,2021-03-22 17:34:51
184,San Cristobal,7.7669,-72.225,84.2,51,40,13.8,VE,2021-03-22 17:34:51
185,Acari,-15.4311,-74.6158,82.98,53,69,11.72,PE,2021-03-22 17:34:52
186,San Jose,37.3394,-121.895,55.0,62,75,4.61,US,2021-03-22 17:34:18
187,Goderich,43.7501,-81.7165,60.8,29,72,16.11,CA,2021-03-22 17:32:44
188,Lagoa,39.05,-27.9833,58.66,78,73,15.21,PT,2021-03-22 17:34:52
189,Sampang,-7.1872,113.2394,80.6,89,20,6.91,ID,2021-03-22 17:34:52
190,Verkhnyaya Inta,65.9811,60.3094,19.04,83,100,9.66,RU,2021-03-22 17:34:53
191,Thompson,55.7435,-97.8558,17.6,49,20,14.97,CA,2021-03-22 17:30:04
192,Ust-Nera,64.5667,143.2,-5.24,98,97,7.23,RU,2021-03-22 17:34:53
193,Mehamn,71.0357,27.8492,26.6,80,75,19.57,NO,2021-03-22 17:34:54
194,Kavakli,41.0926,28.3317,45.0,100,75,17.27,TR,2021-03-22 17:34:54
195,Birao,10.2849,22.7882,90.68,21,95,2.55,CF,2021-03-22 17:34:54
196,Bengkulu,-3.8004,102.2655,76.12,88,100,3.13,ID,2021-03-22 17:34:54
197,Guadalupe Y Calvo,26.1,-106.9667,58.95,28,1,18.39,MX,2021-03-22 17:34:55
198,Ahuimanu,21.4447,-157.8378,71.6,64,75,8.05,US,2021-03-22 17:34:55
199,Severo-Kurilsk,50.6789,156.125,29.48,84,96,19.26,RU,2021-03-22 17:34:55
200,Puerto Ayora,-0.7393,-90.3518,84.2,74,75,13.8,EC,2021-03-22 17:34:56
201,Mogocha,53.7333,119.7667,13.41,91,74,4.97,RU,2021-03-22 17:34:56
202,Jablunka,49.3835,17.9502,36.0,64,0,4.61,CZ,2021-03-22 17:34:56
203,Karratha,-20.7377,116.8463,81.63,58,9,13.42,AU,2021-03-22 17:34:57
204,Bar Harbor,44.3876,-68.2039,57.2,44,1,12.66,US,2021-03-22 17:34:57
205,Sheopur,25.6667,76.7,77.68,33,64,7.4,IN,2021-03-22 17:34:57
206,Sagaing,21.8787,95.9797,82.09,24,0,4.61,MM,2021-03-22 17:34:58
207,Ndele,8.4109,20.6473,86.0,45,77,4.47,CF,2021-03-22 17:34:58
208,Mindelo,16.8901,-24.9804,75.2,53,20,23.02,CV,2021-03-22 17:31:15
209,Trofors,65.5333,13.4063,42.8,81,75,5.75,NO,2021-03-22 17:34:58
210,Gat,31.61,34.7642,77.0,51,99,5.01,IL,2021-03-22 17:34:59
211,Tagusao,9.1924,117.8141,81.12,79,97,5.39,PH,2021-03-22 17:34:59
212,Hobyo,5.3505,48.5268,79.66,74,0,17.16,SO,2021-03-22 17:34:59
213,Cabo San Lucas,22.8909,-109.9124,80.01,36,75,3.44,MX,2021-03-22 17:33:31
214,Sur,22.5667,59.5289,72.25,78,0,1.21,OM,2021-03-22 17:34:59
215,Rocha,-34.4833,-54.3333,72.27,64,64,9.42,UY,2021-03-22 17:35:00
216,Boulder,40.0833,-105.3505,37.4,93,90,5.75,US,2021-03-22 17:30:30
217,Nanortalik,60.1432,-45.2371,26.13,70,34,14.99,GL,2021-03-22 17:35:00
218,Makinsk,52.6292,70.4169,12.16,95,86,7.45,KZ,2021-03-22 17:35:00
219,Pampierstad,-27.7832,24.6877,75.6,28,36,8.25,ZA,2021-03-22 17:32:28
220,Kodinsk,58.6881,99.1844,23.29,96,97,6.24,RU,2021-03-22 17:35:01
221,Darhan,49.4867,105.9228,28.29,77,99,1.77,MN,2021-03-22 17:35:01
222,Cidreira,-30.1811,-50.2056,73.96,74,100,9.13,BR,2021-03-22 17:35:02
223,Gorontalo,0.5412,123.0595,75.67,94,99,3.02,ID,2021-03-22 17:35:02
224,Iskateley,67.6803,53.1512,17.87,96,99,3.67,RU,2021-03-22 17:35:02
225,Esperance,-33.8667,121.9,60.8,88,90,8.05,AU,2021-03-22 17:35:02
226,Nome,64.5011,-165.4064,-2.2,71,1,18.41,US,2021-03-22 17:35:03
227,Miramar,25.9873,-80.2323,75.0,53,40,8.05,US,2021-03-22 17:31:42
228,Inhambane,-23.865,35.3833,78.8,78,40,11.5,MZ,2021-03-22 17:35:03
229,Udachnyy,66.4167,112.4,-24.36,85,7,4.94,RU,2021-03-22 17:35:04
230,Zamania,25.4333,83.5667,75.52,16,32,0.94,IN,2021-03-22 17:35:04
231,Grand Gaube,-20.0064,57.6608,81.0,82,17,1.99,MU,2021-03-22 17:35:04
232,Bonthe,7.5264,-12.505,80.69,72,90,12.62,SL,2021-03-22 17:35:05
233,Doaba,33.4244,70.7364,54.19,80,100,2.93,PK,2021-03-22 17:35:05
234,Xuchang,34.0167,113.8167,53.6,37,0,8.95,CN,2021-03-22 17:35:05
235,Krasnoselkup,65.7,82.4667,0.97,95,100,10.49,RU,2021-03-22 17:35:05
236,Aktau,43.65,51.2,35.6,87,0,2.24,KZ,2021-03-22 17:35:06
237,Nyrob,60.733,56.7202,25.93,95,100,10.38,RU,2021-03-22 17:35:06
238,Chardara,41.2547,67.9692,58.95,53,88,9.19,KZ,2021-03-22 17:35:06
239,Klaksvik,62.2266,-6.589,46.4,87,40,20.71,FO,2021-03-22 17:35:07
240,Ribeira Grande,38.5167,-28.7,62.6,77,40,17.27,PT,2021-03-22 17:35:07
241,Aklavik,68.2191,-135.0107,-14.8,84,1,5.75,CA,2021-03-22 17:35:07
242,Turukhansk,65.8167,87.9833,4.44,95,100,10.16,RU,2021-03-22 17:35:08
243,Yumen,40.2833,97.2,42.21,17,69,16.6,CN,2021-03-22 17:35:08
244,Bogatoye,53.0601,51.3325,24.35,92,45,11.88,RU,2021-03-22 17:35:08
245,Lorengau,-2.0226,147.2712,82.29,77,62,4.32,PG,2021-03-22 17:35:08
246,Rio Gallegos,-51.6226,-69.2181,73.4,25,20,23.02,AR,2021-03-22 17:33:21
247,Banda Aceh,5.5577,95.3222,80.37,80,92,6.73,ID,2021-03-22 17:35:09
248,Mendoza,-32.8908,-68.8272,71.6,43,20,4.61,AR,2021-03-22 17:32:01
249,Ostrovnoy,68.0531,39.5131,20.79,91,61,16.26,RU,2021-03-22 17:35:09
250,Puerto Baquerizo Moreno,-0.9,-89.6,86.0,70,75,11.5,EC,2021-03-22 17:34:27
251,Salalah,17.0151,54.0924,82.4,65,0,4.61,OM,2021-03-22 17:35:10
252,Ahipara,-35.1667,173.1667,56.48,84,55,3.67,NZ,2021-03-22 17:35:10
253,Oranjemund,-28.55,16.4333,68.43,65,16,3.56,NA,2021-03-22 17:35:10
254,Longyearbyen,78.2186,15.6401,12.2,73,40,12.66,SJ,2021-03-22 17:35:11
255,Andrelandia,-21.7397,-44.3092,80.64,54,6,2.46,BR,2021-03-22 17:35:11
256,Hambantota,6.1241,81.1185,79.79,80,100,10.54,LK,2021-03-22 17:35:11
257,At-Bashi,41.1702,75.8106,30.74,63,100,4.7,KG,2021-03-22 17:35:12
258,Saint-Augustin,51.226,-58.6502,38.01,99,81,11.16,CA,2021-03-22 17:35:12
