City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
180,Kirakira,SB,2021-03-24 20:04:19,-10.4544,161.9205,79.45,80,92,3.67,overcast clouds
181,Tabou,CI,2021-03-24 20:04:19,4.423,-7.3528,79.02,87,49,5.64,scattered clouds
182,Kruisfontein,ZA,2021-03-24 20:04:19,-34.0033,24.7314,70.0,78,100,4.0,overcast clouds
183,Kitgum,UG,2021-03-24 20:04:20,3.2783,32.8867,81.14,30,97,9.86,overcast clouds
184,Norman Wells,CA,2021-03-24 20:04:20,65.282,-126.8329,3.2,66,75,10.36,broken clouds
185,Chuchkovo,RU,2021-03-24 20:04:20,54.2693,41.4465,16.72,97,30,3.69,scattered clouds
186,Kaitangata,NZ,2021-03-24 20:04:21,-46.2817,169.8464,52.27,90,67,5.99,broken clouds
187,Sobolevo,RU,2021-03-24 20:04:21,54.4299,31.8996,22.24,92,60,3.96,broken clouds
188,Saint John,CA,2021-03-24 20:01:23,45.2727,-66.0677,53.6,62,90,9.22,overcast clouds
189,Hohhot,CN,2021-03-24 20:04:21,40.8106,111.6522,33.8,34,0,6.71,clear sky
190,Kemijarvi,FI,2021-03-24 20:04:21,66.7131,27.4306,34.61,83,4,16.13,clear sky
191,Kentau,KZ,2021-03-24 20:04:22,43.5206,68.5094,54.57,55,3,8.16,clear sky
192,Broome,US,2021-03-24 20:04:22,42.2506,-75.833,54.0,93,90,17.27,light rain
193,Elizabeth City,US,2021-03-24 20:01:39,36.2946,-76.2511,66.2,88,90,13.8,mist
194,Ribnitz-Damgarten,DE,2021-03-24 20:04:22,54.25,12.4667,46.99,76,75,4.61,broken clouds
195,Hervey Bay,AU,2021-03-24 20:04:23,-25.2986,152.8535,72.0,83,40,3.44,scattered clouds
196,Tiarei,PF,2021-03-24 20:04:23,-17.5333,-149.3333,87.8,66,75,8.05,light rain
197,Thompson,CA,2021-03-24 20:00:07,55.7435,-97.8558,10.4,48,20,9.22,few clouds
198,Sabang,ID,2021-03-24 20:04:23,5.8933,95.3214,80.78,79,100,12.41,moderate rain
199,Fortuna,US,2021-03-24 20:04:24,40.5982,-124.1573,55.99,81,20,14.97,few clouds
200,Souillac,MU,2021-03-24 20:04:24,-20.5167,57.5167,77.0,94,20,4.61,few clouds
